name,n_depots,n_required_edges,n_nodes,lb_opt_1,lb_opt_2,lb_opt,sol_1,sol2,sol,approx,ub_approx
20_200_16,20,200,420,17163,17163,17163,33940,32601,32601,1.8995,1.97561,
20_200_17,20,200,420,16854.4,16854.4,16854.4,33331,31966,31966,1.8966,1.97561,
20_200_18,20,200,420,17032.1,17032.1,17032.1,33678,32484,32484,1.90722,1.97561,
20_200_19,20,200,420,16852.3,16852.3,16852.3,33320,32240,32240,1.91309,1.97561,
20_200_20,20,200,420,17139,17139,17139,33889,32696,32696,1.9077,1.97561,
20_200_21,20,200,420,17380.6,17380.6,17380.6,34357,33550,33550,1.93031,1.97561,
20_200_22,20,200,420,16903.8,16903.8,16903.8,33421,32370,32370,1.91495,1.97561,
20_200_23,20,200,420,18390.7,18390.7,18390.7,36367,34963,34963,1.90113,1.97561,
20_200_24,20,200,420,17319.2,17319.2,17319.2,34253,32734,32734,1.89004,1.97561,
20_200_25,20,200,420,18524.2,18524.2,18524.2,36632,35179,35179,1.89908,1.97561,
20_200_26,20,200,420,17952.8,17952.8,17952.8,35491,34535,34535,1.92366,1.97561,
20_200_27,20,200,420,17547.3,17547.3,17547.3,34707,33052,33052,1.88359,1.97561,
20_200_28,20,200,420,17209.2,17209.2,17209.2,34025,32943,32943,1.91427,1.97561,
20_200_29,20,200,420,17032.1,17032.1,17032.1,33679,32439,32439,1.90458,1.97561,
20_200_30,20,200,420,17917,17917,17917,35434,33919,33919,1.89312,1.97561,
20_200_31,20,200,420,16572.9,16572.9,16572.9,32783,31087,31087,1.87577,1.97561,
20_200_32,20,200,420,17046.9,17046.9,17046.9,33712,32316,32316,1.89572,1.97561,
20_200_33,20,200,420,17277.3,17277.3,17277.3,34162,32980,32980,1.90886,1.97561,
20_200_34,20,200,420,17438.9,17438.9,17438.9,34475,33554,33554,1.92409,1.97561,
20_200_35,20,200,420,17399,17399,17399,34405,33119,33119,1.9035,1.97561,
20_200_36,20,200,420,16347.6,16347.6,16347.6,32309,31792,31792,1.94476,1.97561,
20_200_37,20,200,420,17128.6,17128.6,17128.6,33870,32614,32614,1.90407,1.97561,
20_200_38,20,200,420,17269.5,17269.5,17269.5,34149,32873,32873,1.90352,1.97561,
20_200_39,20,200,420,17455.2,17455.2,17455.2,34520,33070,33070,1.89457,1.97561,
